# Dice

| D12s | D10s | D8s | mean | std dev | interquartile range | pain |
| :-: | :-: | :-: | :-: | :-: | :-: | :-: |

| 0 | 3 | 0 | 16.5202 | 4.983 | 7 | pain |
| 1 | 1 | 1 | 16.5478 | 5.052 | 7 |  |
| 1 | 1 | 2 | 17.8868 | 4.855 | 7 |  |
| 1 | 2 | 1 | 18.131 | 4.798 | 7 |  |
| 1 | 1 | 3 | 18.3974 | 4.774 | 7 |  |
| 2 | 1 | 1 | 18.4356 | 4.660 | 7 |  |
| 1 | 1 | 4 | 18.7258 | 4.708 | 7 |  |
| 1 | 3 | 1 | 18.9996 | 4.599 | 6 |  |
| 1 | 2 | 2 | 19.431 | 4.625 | 7 |  |
| 0 | 4 | 0 | 19.4566 | 4.728 | 7 | pain |
| 3 | 1 | 1 | 19.472 | 4.361 | 7 |  |
| 1 | 4 | 1 | 19.5316 | 4.489 | 7 |  |
| 2 | 1 | 2 | 19.7706 | 4.467 | 6 |  |
| 4 | 1 | 1 | 19.9906 | 4.156 | 6 |  |
| 2 | 2 | 1 | 20.0984 | 4.305 | 6 |  |
| 1 | 2 | 3 | 20.1158 | 4.423 | 6 |  |
| 1 | 3 | 2 | 20.254 | 4.369 | 7 |  |
| 2 | 1 | 3 | 20.4254 | 4.351 | 7 |  |
| 1 | 2 | 4 | 20.476 | 4.445 | 7 |  |
| 1 | 4 | 2 | 20.823 | 4.235 | 6 |  |
| 2 | 1 | 4 | 20.836 | 4.245 | 6 |  |
| 3 | 1 | 2 | 20.8558 | 4.106 | 6 |  |
| 1 | 3 | 3 | 20.8748 | 4.234 | 6 |  |
| 2 | 3 | 1 | 21.0232 | 4.131 | 6 |  |
| 3 | 2 | 1 | 21.18 | 4.020 | 6 |  |
| 4 | 1 | 2 | 21.3306 | 3.933 | 5 |  |
| 1 | 3 | 4 | 21.3672 | 4.143 | 7 |  |
| 1 | 4 | 3 | 21.4234 | 4.086 | 7 |  |
| 2 | 4 | 1 | 21.4246 | 3.945 | 5 |  |
| 3 | 1 | 3 | 21.4522 | 4.034 | 5 |  |
| 2 | 2 | 2 | 21.4832 | 4.103 | 6 |  |
| 0 | 5 | 0 | 21.4858 | 4.290 | 6 | pain |
| 4 | 2 | 1 | 21.699 | 3.824 | 5 |  |
| 1 | 4 | 4 | 21.8566 | 4.014 | 6 |  |
| 3 | 1 | 4 | 21.8628 | 3.911 | 6 |  |
| 4 | 1 | 3 | 21.9546 | 3.799 | 6 |  |
| 3 | 3 | 1 | 22.0028 | 3.746 | 5 |  |
| 2 | 2 | 3 | 22.0894 | 4.055 | 6 |  |
| 2 | 3 | 2 | 22.3408 | 3.915 | 5 |  |
| 3 | 4 | 1 | 22.4188 | 3.607 | 5 |  |
| 4 | 1 | 4 | 22.4372 | 3.690 | 5 |  |
| 3 | 2 | 2 | 22.4714 | 3.779 | 5 |  |
| 2 | 2 | 4 | 22.5138 | 3.898 | 5 |  |
| 4 | 3 | 1 | 22.5484 | 3.563 | 5 |  |
| 2 | 4 | 2 | 22.6862 | 3.815 | 6 |  |
| 0 | 6 | 0 | 22.8858 | 4.002 | 6 | pain |
| 4 | 4 | 1 | 22.9848 | 3.426 | 4 |  |
| 2 | 3 | 3 | 22.9874 | 3.774 | 6 |  |
| 4 | 2 | 2 | 23.0116 | 3.522 | 5 |  |
| 3 | 2 | 3 | 23.106 | 3.715 | 5 |  |
| 3 | 3 | 2 | 23.2428 | 3.563 | 5 |  |
| 2 | 3 | 4 | 23.348 | 3.628 | 5 |  |
| 2 | 4 | 3 | 23.4352 | 3.589 | 5 |  |
| 3 | 2 | 4 | 23.5144 | 3.511 | 5 |  |
| 4 | 2 | 3 | 23.6746 | 3.438 | 5 |  |
| 3 | 4 | 2 | 23.744 | 3.342 | 4 |  |
| 2 | 4 | 4 | 23.808 | 3.503 | 5 |  |
| 4 | 3 | 2 | 23.8776 | 3.316 | 4 |  |
| 3 | 3 | 3 | 23.9286 | 3.435 | 5 |  |
| 0 | 7 | 0 | 23.9318 | 3.592 | 5 | pain |
| 4 | 2 | 4 | 24.1032 | 3.337 | 5 |  |
| 3 | 3 | 4 | 24.274 | 3.274 | 5 |  |
| 4 | 4 | 2 | 24.2992 | 3.148 | 5 |  |
| 3 | 4 | 3 | 24.3566 | 3.170 | 5 |  |
| 4 | 3 | 3 | 24.5334 | 3.123 | 4 |  |
| 3 | 4 | 4 | 24.8008 | 3.153 | 4 |  |
| 0 | 8 | 0 | 24.8046 | 3.290 | 4 | pain |
| 4 | 3 | 4 | 24.8676 | 3.116 | 4 |  |
| 4 | 4 | 3 | 25.0074 | 3.008 | 4 |  |
| 4 | 4 | 4 | 25.3558 | 2.824 | 3 |  |
| 0 | 9 | 0 | 25.4814 | 3.008 | 4 | pain |
| 0 | 10 | 0 | 26.0174 | 2.832 | 4 | pain |
| 0 | 11 | 0 | 26.3974 | 2.612 | 3 | pain |
| 0 | 12 | 0 | 26.779 | 2.414 | 4 | pain |
